cost_type,cost_limit,reward,cost,hazard3DS,pillars
hazard3DS+pillar,10,1.385727201233419,80.04481869598717,40.39481869598704,39.65
hazard3DS+pillar,10,0.4352397642142467,75.24540448449604,59.44540448449601,15.8
hazard3DS+pillar,10,0.1823009953827221,48.46293719052072,39.76293719052072,8.7
hazard3DS+pillar,10,0.8363025122660985,51.86603329077822,33.766033290778196,18.1
hazard3DS+pillar,10,0.37349046612398806,64.9906600008151,31.940660000815107,33.05
hazard3DS+pillar,10,0.5115548775798711,72.21778002703884,32.06778002703892,40.15
hazard3DS+pillar,10,0.5065744085398678,54.28746341368109,45.48746341368109,8.8
hazard3DS+pillar,10,0.9419672966343864,55.97571854884666,41.225718548846615,14.75
hazard3DS+pillar,10,0.5937720497685913,60.90584478853573,45.05584478853577,15.85
hazard3DS+pillar,10,0.575772635621523,45.37599374283057,24.575993742830526,20.8
hazard3DS+pillar,10,0.3872768525203192,64.60251087133761,49.45251087133768,15.15
hazard3DS+pillar_avg,10,0.6118162781713667,61.27046955044253,40.28865136862433,20.981818181818184
hazard3DS+pillar,10,-0.34178649863982147,91.5374481414029,54.637448141402935,36.9
hazard3DS+pillar,10,-0.17268621920045274,101.62714456908463,44.92714456908452,56.7
hazard3DS+pillar,10,-0.47470992439961074,51.235629457651555,29.58562945765156,21.65
hazard3DS+pillar,10,-0.24418558185118378,58.26293372213585,32.71293372213587,25.55
hazard3DS+pillar,10,-0.3318925313968093,65.9250781825701,39.3250781825701,26.6
hazard3DS+pillar,10,-0.0928442233730111,46.602967488954604,22.202967488954577,24.4
hazard3DS+pillar,10,-0.425119765300062,71.54145148701099,19.74145148701098,51.8
hazard3DS+pillar,10,-0.39816050655264734,48.6911314663537,31.54113146635374,17.15
hazard3DS+pillar,10,-0.515395463351448,73.37654757541424,39.376547575414286,34.0
hazard3DS+pillar,10,-0.7423870087006513,57.78411890054251,21.234118900542523,36.55
hazard3DS+pillar,10,-0.4677353873695126,101.78629275747492,37.08629275747491,64.7
hazard3DS+pillar_avg,10,-0.38244573728501907,69.85188579532691,33.85188579532691,36.0
hazard3DS+pillar,25,0.2450839248006027,72.36198497877697,18.81198497877692,53.55
hazard3DS+pillar,25,-0.3530058397509054,72.35271952163585,39.85271952163584,32.5
hazard3DS+pillar,25,0.10374446740803293,125.25113868721166,41.25113868721173,84.0
hazard3DS+pillar,25,0.17629332783928917,127.71041390878683,20.710413908786734,107.0
hazard3DS+pillar,25,0.31710032476550204,186.62575396596316,29.825753965963152,156.8
hazard3DS+pillar,25,0.9609754750195834,132.23605846258712,30.58605846258708,101.65
hazard3DS+pillar,25,0.3680909004310508,172.52562014864685,27.225620148646982,145.3
hazard3DS+pillar,25,0.4531787533656663,95.56180807677283,29.06180807677277,66.5
hazard3DS+pillar,25,0.3833093661511418,70.88937568961123,23.739375689611297,47.15
hazard3DS+pillar,25,0.43327592175035745,83.54527445145537,27.895274451455407,55.65
hazard3DS+pillar,25,0.2373460977532013,81.223382907769,22.32338290776896,58.9
hazard3DS+pillar_avg,25,0.302308429048502,110.93486643629244,28.298502799928805,82.63636363636363
hazard3DS+pillar,1000,0.9994947315497342,123.96678366679836,47.816783666798386,76.15
hazard3DS+pillar,1000,0.3405540728890739,169.63324542770857,55.48324542770871,114.15
hazard3DS+pillar,1000,1.287415538709506,70.32875525024672,51.42875525024671,18.9
hazard3DS+pillar,1000,0.3389491866481879,58.24316163285998,51.09316163286,7.15
hazard3DS+pillar,1000,0.16989745822472704,35.704585346887576,24.454585346887583,11.25
hazard3DS+pillar,1000,0.9513600951600726,15.018446472485696,13.718446472485699,1.3
hazard3DS+pillar,1000,0.4153247358973404,26.89291211435842,24.542912114358426,2.35
hazard3DS+pillar,1000,0.37947303142621364,4.6721431170082885,4.6721431170082885,0.0
hazard3DS+pillar,1000,0.045044194941003535,15.986541132211183,15.486541132211187,0.5
hazard3DS+pillar,1000,-0.2524617451517629,5.37025641477471,5.22025641477471,0.15
hazard3DS+pillar,1000,-0.34230564624595344,33.34036457302979,32.94036457302979,0.4
hazard3DS+pillar_avg,1000,0.39388596854983127,50.83247228621539,29.714290468033596,21.11818181818182
hazard3DS+pillar,1000,0.5100071113444684,42.116980495566246,38.21698049556627,3.9
hazard3DS+pillar,1000,0.07614676867680627,11.437657753567196,7.287657753567194,4.15
hazard3DS+pillar,1000,0.20351252818079715,8.538245460679535,8.538245460679535,0.0
hazard3DS+pillar,1000,-0.13538202089265491,11.462920096878147,9.46292009687814,2.0
hazard3DS+pillar,1000,-0.18112662625371656,17.938568912597372,10.03856891259737,7.9
hazard3DS+pillar,1000,0.10526370457282455,6.378188731025232,5.828188731025232,0.55
hazard3DS+pillar,1000,0.3048417022666004,22.26297598534597,21.662975985345973,0.6
hazard3DS+pillar,1000,0.09885425464759127,30.427539655927625,8.377539655927592,22.05
hazard3DS+pillar,1000,0.34001457086394027,2.948963771568252,2.948963771568252,0.0
hazard3DS+pillar,1000,-0.03736203707996143,4.913224358765415,4.913224358765415,0.0
hazard3DS+pillar,1000,-0.24282291469946654,12.783786505414408,12.433786505414409,0.35
hazard3DS+pillar_avg,1000,0.09472245832974807,15.564459247939583,11.791731975212308,3.7727272727272734
